9,1.8,0.18,0.115,-0.228,0.087,-0.017,9.703,328.87,32.28,3.5,0,0,38.809553,337.37,,1,1,1,1,,373,,,0.2
9.25,1.85,0.185,-0.04,-0.248,0.075,-0.061,9.739,328.97,31.35,3.7,0,0,37.691434,337.67,,1,1,1,1,,373.5,,,0.2
9.5,1.9,0.19,-0.04,-0.248,0.075,-0.061,9.739,328.97,31.35,3.7,0,0,37.691434,337.67,,1,1,1,1,,374,,,0.2
9.75,1.95,0.195,-0.176,-0.242,0.064,-0.049,9.78,328.97,31.35,3.7,0,0,37.691434,337.67,,1,1,1,1,,374.5,,,0.2
10,2,0.2,-0.176,-0.242,0.064,-0.049,9.78,328.97,31.35,3.7,0,0,37.691434,337.67,,1,1,1,1,,375,,,0.2
10.25,1.95,0.195,-0.284,-0.222,0.077,-0.021,9.793,328.97,30.43,5,0,0,36.585338,338.97,,1,1,1,1,,375.5,,,0.2
10.5,1.9,0.19,-0.284,-0.222,0.077,-0.021,9.793,328.97,30.43,5,0,0,36.585338,338.97,,1,1,1,1,,376,,,0.2
10.75,1.85,0.185,-0.363,-0.205,0.082,0.009,9.796,328.97,30.43,5,0,0,36.585338,338.97,,1,1,1,1,,376.5,,,0.2
11,1.8,0.18,-0.363,-0.205,0.082,0.009,9.796,328.97,30.43,5,0,0,36.585338,338.97,,1,1,1,1,,377,,,0.2
11.25,1.75,0.175,-0.418,-0.187,0.099,0.096,9.78,329.17,31.35,7.4,0,0,37.691434,341.57,,1,1,1,1,,377.5,,,0.2
11.5,1.7,0.17,-0.418,-0.187,0.099,0.096,9.78,329.17,31.35,7.4,0,0,37.691434,341.57,,1,1,1,1,,378,,,0.2
11.75,1.65,0.165,-0.453,-0.179,0.11,0.173,9.759,329.17,31.35,7.4,0,0,37.691434,341.57,,1,1,1,1,,378.5,,,0.2
12,1.6,0.16,-0.453,-0.179,0.11,0.173,9.759,329.17,31.35,7.4,0,0,37.691434,341.57,,1,1,1,1,,379,,,0.2
12.25,1.55,0.155,-0.472,-0.166,0.096,0.179,9.781,329.17,31.35,3.8,0,0,37.691434,337.97,,1,1,1,1,,379.5,,,0.2
12.5,1.5,0.15,-0.472,-0.166,0.096,0.179,9.781,329.17,31.35,3.8,0,0,37.691434,337.97,,1,1,1,1,,380,,,0.2
12.75,1.45,0.145,-0.472,-0.143,0.086,0.119,9.801,329.17,31.35,3.8,0,0,37.691434,337.97,,1,1,1,1,,380.5,,,0.2
13,1.4,0.14,-0.472,-0.143,0.086,0.119,9.801,329.17,31.35,3.8,0,0,37.691434,337.97,,1,1,1,1,,381,,,0.2
13.25,1.35,0.135,-0.451,-0.096,0.051,-0.002,9.864,329.27,31.35,2.9,0,0,37.691434,337.17,,1,1,1,1,,381.5,,,0.2
13.5,1.3,0.13,-0.451,-0.096,0.051,-0.002,9.864,329.27,31.35,2.9,0,0,37.691434,337.17,,1,1,1,1,,382,,,0.2
13.75,1.25,0.125,-0.398,-0.028,0.021,-0.14,9.92,329.27,31.35,2.9,0,0,37.691434,337.17,,1,1,1,1,,382.5,,,0.2
14,1.2,0.12,-0.398,-0.028,0.021,-0.14,9.92,329.27,31.35,2.9,0,0,37.691434,337.17,,1,1,1,1,,383,,,0.2
14.25,1.15,0.115,-0.309,0.066,-0.02,-0.253,10.001,329.27,32.28,5.6,0,0,38.809553,339.87,,1,1,1,1,,383.5,,,0.2
14.5,1.1,0.11,-0.309,0.066,-0.02,-0.253,10.001,329.27,32.28,5.6,0,0,38.809553,339.87,,1,1,1,1,,384,,,0.2
14.75,1.05,0.105,-0.179,0.175,-0.039,-0.305,10.055,329.27,32.28,5.6,0,0,38.809553,339.87,,1,1,1,1,,384.5,,,0.2
15,1,0.1,-0.179,0.175,-0.039,-0.305,10.055,329.27,32.28,5.6,0,0,38.809553,339.87,,1,1,1,1,,385,,,0.3
15.25,0.95,0.095,-0.013,0.294,-0.062,-0.302,10.115,329.27,33.2,3.6,0,0,39.915649,337.87,,1,1,1,1,,385.5,,,0.3
15.5,0.9,0.09,-0.013,0.294,-0.062,-0.302,10.115,329.27,33.2,3.6,0,0,39.915649,337.87,,1,1,1,1,,386,,,0.3
15.75,0.85,0.085,0.185,0.402,-0.058,-0.301,10.119,329.27,33.2,3.6,0,0,39.915649,337.87,,1,1,1,1,,386.5,,,0.3
