52564.5,-0.059,-0.47,-0.04,-0.248,0.075,-0.061,9.739,328.97,10,3.7,0,0,37.691434,337.67,,1,1,1,1,,374
52564.75,-0.018,-0.448,-0.176,-0.242,0.064,-0.049,9.78,328.97,10,3.7,0,0,37.691434,337.67,,1,1,1,1,,374.5
52565,-0.018,-0.448,-0.176,-0.242,0.064,-0.049,9.78,328.97,10,3.7,0,0,37.691434,337.67,,1,1,1,1,,375
52565.25,-0.008,-0.43,-0.284,-0.222,0.077,-0.021,9.793,328.97,10,5,0,0,36.585338,338.97,,1,1,1,1,,375.5
52565.5,-0.008,-0.43,-0.284,-0.222,0.077,-0.021,9.793,328.97,10,5,0,0,36.585338,338.97,,1,1,1,1,,376
52565.75,-0.038,-0.414,-0.363,-0.205,0.082,0.009,9.796,328.97,10,5,0,0,36.585338,338.97,,1,1,1,1,,376.5
52566,-0.038,-0.414,-0.363,-0.205,0.082,0.009,9.796,328.97,10,5,0,0,36.585338,338.97,,1,1,1,1,,377
52566.25,-0.109,-0.399,-0.418,-0.187,0.099,0.096,9.78,329.17,10,7.4,0,0,37.691434,341.57,,1,1,1,1,,377.5
52566.5,-0.109,-0.399,-0.418,-0.187,0.099,0.096,9.78,329.17,10,7.4,0,0,37.691434,341.57,,1,1,1,1,,378
52566.75,-0.214,-0.374,-0.453,-0.179,0.11,0.173,9.759,329.17,10,7.4,0,0,37.691434,341.57,,1,1,1,1,,378.5
52567,-0.214,-0.374,-0.453,-0.179,0.11,0.173,9.759,329.17,10,7.4,0,0,37.691434,341.57,,1,1,1,1,,379
52567.25,-0.343,-0.341,-0.472,-0.166,0.096,0.179,9.781,329.17,10,3.8,0,0,37.691434,337.97,,1,1,1,1,,379.5
52567.5,-0.343,-0.341,-0.472,-0.166,0.096,0.179,9.781,329.17,10,3.8,0,0,37.691434,337.97,,1,1,1,1,,380
52567.75,-0.482,-0.301,-0.472,-0.143,0.086,0.119,9.801,329.17,10,3.8,0,0,37.691434,337.97,,1,1,1,1,,380.5
52568,-0.482,-0.301,-0.472,-0.143,0.086,0.119,9.801,329.17,10,3.8,0,0,37.691434,337.97,,1,1,1,1,,381
52568.25,-0.616,-0.251,-0.451,-0.096,0.051,-0.002,9.864,329.27,10,2.9,0,0,37.691434,337.17,,1,1,1,1,,381.5
52568.5,-0.616,-0.251,-0.451,-0.096,0.051,-0.002,9.864,329.27,10,2.9,0,0,37.691434,337.17,,1,1,1,1,,382
52568.75,-0.728,-0.196,-0.398,-0.028,0.021,-0.14,9.92,329.27,10,2.9,0,0,37.691434,337.17,,1,1,1,1,,382.5
52569,-0.728,-0.196,-0.398,-0.028,0.021,-0.14,9.92,329.27,10,2.9,0,0,37.691434,337.17,,1,1,1,1,,383
